inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
131,72,5,213,13,234,2026-03-01
132,73,2,126,22,280,2026-01-07
133,73,4,147,44,540,2026-01-07
134,74,3,109,10,696,2026-01-22
135,74,1,390,12,235,2024-05-05
136,75,1,159,20,561,2025-08-11
137,75,3,223,41,842,2024-08-10
138,75,4,393,33,207,2024-06-27
139,76,1,116,19,993,2026-02-15
140,76,5,229,22,304,2024-06-20
141,77,3,471,30,746,2024-11-14
142,77,3,330,14,809,2026-01-17
143,78,1,233,34,790,2025-04-22
144,78,1,426,16,416,2024-01-03
145,79,5,88,38,404,2025-02-21
146,79,1,24,43,859,2024-01-03
147,79,4,219,22,602,2024-01-02
148,80,5,452,36,808,2024-06-24
149,80,3,295,38,946,2024-08-29
150,81,2,163,47,813,2026-02-03
151,81,3,308,10,815,2025-03-31
152,82,3,398,12,613,2025-02-18
153,82,3,480,16,517,2026-03-01
154,83,1,300,41,937,2024-04-05
155,83,4,323,29,225,2024-03-09
156,83,3,159,27,498,2025-05-22
157,84,4,467,11,843,2025-09-02
158,84,1,273,39,460,2024-01-28
159,85,3,51,26,736,2024-05-22
160,85,1,145,12,287,2025-01-12
161,85,2,304,40,894,2026-03-09
162,86,2,429,21,348,2025-08-14
163,86,2,297,32,683,2024-06-09
164,86,2,153,11,834,2024-08-20
165,87,1,354,26,673,2025-01-22
166,87,5,71,49,653,2025-02-05
167,88,1,280,18,219,2024-04-18
168,88,1,184,13,886,2025-11-15
169,88,4,459,35,347,2024-02-12
170,89,3,88,27,321,2024-11-30
171,90,4,29,26,718,2025-05-02
172,90,3,162,13,500,2024-06-23
173,91,5,430,14,308,2025-04-24
174,92,5,364,42,795,2025-11-12
175,93,5,33,23,277,2025-06-26
176,93,4,296,47,452,2024-07-19
177,93,3,250,44,242,2024-04-27
178,94,5,52,24,746,2024-08-24
179,94,4,156,16,777,2024-08-02
180,95,5,77,28,427,2025-12-16
181,95,2,372,26,628,2024-05-07
182,96,5,195,49,549,2025-01-19
183,96,4,170,14,461,2024-11-05
184,97,4,162,38,231,2024-02-29
185,98,3,210,34,293,2026-03-16
186,98,3,286,40,833,2024-03-07
187,98,1,166,11,899,2024-02-21
188,99,3,214,32,357,2025-07-07
189,99,3,406,40,645,2024-08-24
190,100,3,7,44,371,2024-05-08
191,100,1,445,24,438,2024-06-05
